,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
txf41578,tommy.foster@univ.edu,1,Tommy,Foster,49.0,80,63,80,51,80,83,100,64,70,86,90,32,50,56,70,51,60,38,60,78,100,88,100,65,100
jag55224,jessica.garza@univ.edu,1,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100
mjg41514,matthew.gonzalez@univ.edu,1,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100
cxg21963,cynthia.guzman@univ.edu,1,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100
jlh15029,john.harris@univ.edu,1,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100
cxh80084,colleen.hart@univ.edu,1,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100
thh29195,taylor.hernandez@univ.edu,1,Taylor,Hernandez,54.0,80,52,80,53,80,67,100,56,70,77,90,33,50,57,70,52,60,46,60,92,100,83,100,98,100
edh14938,emily.houston@univ.edu,1,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100
bch39598,brett.hunt@univ.edu,1,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100
dcj14616,daniel.jones@univ.edu,1,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100
mxj54725,michele.jones@univ.edu,1,Michele,Jones,67.0,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100
txj12345,traci.joyce@univ.edu,1,Traci,Joyce,,80,77,80,58,80,91,100,66,70,78,90,30,50,69,70,59,60,53,60,100,100,84,100,64,100
pmk49230,paige.king@univ.edu,1,Paige,King,61.0,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100
mxl67812,michelle.lee@univ.edu,1,Michelle,Lee,56.0,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100
msl77920,mark.lopez@univ.edu,1,Mark,Lopez,58.0,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100
nxm87406,nicole.mann@univ.edu,1,Nicole,Mann,73.0,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100
sgm04582,shawn.marshall@univ.edu,1,Shawn,Marshall,70.0,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100
jxm83777,jorge.miller@univ.edu,1,Jorge,Miller,69.0,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100
kam90876,kimberly.moore@univ.edu,1,Kimberly,Moore,79.0,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100
dxn21936,donna.nguyen@univ.edu,1,Donna,Nguyen,52.0,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100
tmo55387,tiffany.ortega@univ.edu,1,Tiffany,Ortega,64.0,80,56,80,56,80,63,100,58,70,79,90,30,50,65,70,51,60,51,60,70,100,82,100,62,100
txp55047,timothy.parker@univ.edu,1,Timothy,Parker,50.0,80,76,80,65,80,72,100,68,70,65,90,42,50,50,70,43,60,59,60,73,100,93,100,66,100
mjp68159,mark.patrick@univ.edu,1,Mark,Patrick,70.0,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100
dxp49123,douglas.payne@univ.edu,1,Douglas,Payne,48.0,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100
jmp63760,jonathan.pena@univ.edu,1,Jonathan,Pena,53.0,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100
ksp17362,kristin.petersen@univ.edu,1,Kristin,Petersen,49.0,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100
bdp78944,brooke.powers@univ.edu,1,Brooke,Powers,80.0,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100
rkr43763,rhonda.rice@univ.edu,1,Rhonda,Rice,77.0,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100
bms82804,beth.sanders@univ.edu,1,Beth,Sanders,59.0,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100
rxs30280,richard.saunders@univ.edu,1,Richard,Saunders,53.0,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100
bxs54690,billy.schwartz@univ.edu,1,Billy,Schwartz,56.0,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100
kxs29884,kerry.smith@univ.edu,1,Kerry,Smith,53.0,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100
mxs33416,matthew.smith@univ.edu,1,Matthew,Smith,75.0,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100
txt65366,thomas.terry@univ.edu,1,Thomas,Terry,72.0,80,60,80,51,80,96,100,51,70,87,90,31,50,43,70,41,60,50,60,83,100,74,100,99,100
sxt33634,sandra.thomas@univ.edu,1,Sandra,Thomas,65.0,80,66,80,67,80,68,100,69,70,65,90,39,50,64,70,41,60,38,60,88,100,62,100,96,100
jxu45537,james.underwood@univ.edu,1,James,Underwood,65.0,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100
sxv18182,sara.vasquez@univ.edu,1,Sara,Vasquez,63.0,80,65,80,67,80,98,100,70,70,65,90,32,50,55,70,40,60,38,60,64,100,73,100,75,100
jxw53347,joyce.walls@univ.edu,1,Joyce,Walls,59.0,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100
jxw98212,jill.walsh@univ.edu,1,Jill,Walsh,65.0,80,48,80,49,80,73,100,47,70,74,90,38,50,68,70,50,60,38,60,73,100,99,100,78,100
axw80146,angela.warren@univ.edu,1,Angela,Warren,54.0,80,62,80,59,80,77,100,59,70,85,90,44,50,55,70,58,60,48,60,70,100,84,100,78,100
tsw14969,tamara.warren@univ.edu,1,Tamara,Warren,74.0,80,53,80,48,80,92,100,57,70,58,90,44,50,54,70,56,60,52,60,77,100,80,100,99,100
txw75701,travis.washington@univ.edu,1,Travis,Washington,64.0,80,67,80,56,80,92,100,50,70,85,90,46,50,69,70,40,60,52,60,94,100,74,100,68,100
sxw76890,samuel.weber@univ.edu,1,Samuel,Weber,71.0,80,78,80,74,80,86,100,69,70,81,90,31,50,48,70,55,60,44,60,79,100,96,100,86,100
jty40106,joseph.young@univ.edu,1,Joseph,Young,51.0,80,69,80,60,80,68,100,67,70,63,90,49,50,42,70,55,60,49,60,72,100,68,100,96,100
