,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
sbr74322,sherry.rogers@univ.edu,2,Sherry,Rogers,58.0,80,60,80,49,80,68,100,50,70,75,90,33,50,44,70,55,60,56,60,63,100,92,100,80,100
oxr30270,oscar.rush@univ.edu,2,Oscar,Rush,50.0,80,56,80,65,80,80,100,42,70,68,90,34,50,67,70,57,60,40,60,74,100,80,100,66,100
mxs33225,michelle.scott@univ.edu,2,Michelle,Scott,52.0,80,55,80,72,80,66,100,44,70,79,90,35,50,52,70,50,60,42,60,87,100,77,100,92,100
aes07091,andrea.smith@univ.edu,2,Andrea,Smith,80.0,80,71,80,61,80,73,100,61,70,79,90,47,50,62,70,43,60,41,60,66,100,97,100,86,100
sxs90647,samantha.smith@univ.edu,2,Samantha,Smith,48.0,80,61,80,49,80,70,100,61,70,87,90,36,50,59,70,53,60,44,60,69,100,100,100,74,100
lxs77616,leslie.sparks@univ.edu,2,Leslie,Sparks,66.0,80,77,80,54,80,66,100,48,70,56,90,38,50,63,70,43,60,50,60,61,100,95,100,90,100
mxs29840,marcia.stevens@univ.edu,2,Marcia,Stevens,51.0,80,72,80,60,80,84,100,68,70,73,90,50,50,65,70,59,60,59,60,63,100,99,100,83,100
mat59156,michael.taylor@univ.edu,2,Michael,Taylor,58.0,80,60,80,50,80,72,100,46,70,68,90,37,50,49,70,47,60,36,60,91,100,68,100,66,100
cxw68726,carol.watkins@univ.edu,2,Carol,Watkins,64.0,80,76,80,69,80,88,100,60,70,66,90,36,50,51,70,55,60,57,60,62,100,92,100,98,100
hsw06874,holly.watson@univ.edu,2,Holly,Watson,66.0,80,51,80,66,80,79,100,53,70,55,90,35,50,61,70,49,60,49,60,81,100,100,100,90,100
kxw26270,kimberly.williams@univ.edu,2,Kimberly,Williams,72.0,80,80,80,63,80,87,100,57,70,71,90,30,50,43,70,42,60,49,60,82,100,95,100,85,100
cxw91147,courtney.wolf@univ.edu,2,Courtney,Wolf,80.0,80,79,80,66,80,63,100,56,70,71,90,48,50,43,70,52,60,43,60,88,100,86,100,62,100
jxw87000,john.woodard@univ.edu,2,John,Woodard,51.0,80,68,80,56,80,71,100,69,70,60,90,33,50,56,70,41,60,60,60,68,100,93,100,62,100
